timestamp,tollID,tagRef,tagHomeID,charge
2023-12-05 06:16,AM30,KO4LRU71R,KO,2.3
2023-07-11 12:50,OO01,AMOELWDDL,AM,1.6
2023-10-07 12:55,OO28,MOVFISNVJ,MO,0.9
2023-08-15 23:10,EG64,KOE1U23BV,KO,0.7
2023-11-10 23:39,OO26,NAOXVXN4XG,NAO,2.9
2023-08-20 04:40,EG56,NO420F76V,NO,2.0
2023-10-04 10:30,NAO29,OOYSMQA3K,OO,1.25
2023-10-20 18:50,NO08,KOTDW04K6,KO,2.5
2023-09-27 21:53,AM15,AM2BXOY9J,AM,2.1
2023-10-20 23:48,EG42,NOTOYRWSF,NO,2.1
2023-10-04 19:05,EG11,GE8EAV61F,GE,0.3
2023-11-17 12:21,NO07,AMH8Z6F0S,AM,2.5
2023-11-01 18:37,NAO15,GEW8XO6ZZ,GE,1.25
2023-12-27 22:09,KO03,NAOT605TH6,NAO,7.45
2023-10-06 04:22,OO26,NOIJKEKPH,NO,2.0
2023-07-04 16:44,EG40,GEF7E9F7P,GE,2.8
2023-12-02 17:34,MO17,EGIQKNXU7,EG,2.05
2023-10-06 21:36,NAO31,OOO7J1LTD,OO,1.25
2023-11-04 03:13,NO11,EGB91J1Q9,EG,2.35
2023-11-17 15:30,OO10,OOS8X09X6,OO,6.2
2023-09-19 12:16,EG47,NOT3TWL0C,NO,0.8
2023-08-20 13:38,EG72,OOWS7QSHA,OO,0.3
2023-07-08 17:04,EG43,MOYAPUQFA,MO,0.8
2023-11-04 19:32,AM04,GELS2WS25,GE,9.6
2023-08-12 15:51,EG02,NOS3YRUMV,NO,3.0
2023-09-22 03:27,EG28,OOXNVQ3LL,OO,1.4
2023-09-27 14:49,EG39,EG2UPADZI,EG,0.6
2023-12-10 09:32,NAO19,OO6KJ9R0J,OO,2.5
2023-10-13 09:09,KO11,OOMOWU6FD,OO,7.0
2023-11-19 14:14,NAO39,EG8RWT69X,EG,2.5
2023-08-05 06:33,MO07,GEZ2CJ3B5,GE,3.15
2023-11-04 23:29,AM21,NOHCZ6AQL,NO,1.0
2023-07-15 17:11,NAO37,OO90IRWO1,OO,10.0
2023-11-29 17:29,EG06,MONXH82A0,MO,1.2
2023-09-24 22:17,AM18,OOKVNGZZP,OO,1.7
2023-10-16 07:12,EG63,OOBWCLIZS,OO,0.4
2023-07-24 09:14,EG12,GE905PIEE,GE,0.5
2023-07-22 23:35,KO16,KO7SKLVAS,KO,0.6
2023-12-10 13:04,EG67,AM7FPVXP7,AM,1.1
2023-12-10 00:02,AM05,NAOQ3L93FH,NAO,10.8
2023-12-17 14:11,OO06,OOV8SA20G,OO,3.5
2023-07-28 12:56,NO32,MOFLTRWTE,MO,3.9
2023-11-11 17:47,AM18,GEPBYNE2J,GE,1.7
2023-10-28 06:40,EG40,GEQGXXHID,GE,2.8
2023-12-23 07:52,NAO25,NAOF7LMUVK,NAO,2.5
2023-08-15 04:53,NO13,MOPU8Y7QI,MO,10.45
2023-09-30 02:41,OO15,EG1RV6CR3,EG,1.3
2023-11-13 21:42,NO26,OO2CSYWH6,OO,5.4
2023-08-11 12:04,NO17,EGU942FAR,EG,3.45
2023-10-18 21:28,EG58,MO0ZI7OFH,MO,1.1
2023-09-03 01:47,EG54,OO7IHZV7T,OO,2.1
2023-07-19 04:22,MO14,KOW8EQVQA,KO,2.85
2023-09-16 19:32,NO17,NO2UC65MX,NO,3.45
2023-09-13 00:31,KO05,MOV19ZU1W,MO,6.75
2023-12-01 19:43,OO26,NOYEIA881,NO,2.9
2023-09-21 20:38,NO32,EGDFMVENC,EG,3.9
2023-09-17 00:28,NAO35,AMY1X44A9,AM,2.5
2023-12-12 15:35,EG49,OO744WE2A,OO,0.9
