timestamp,tollID,tagRef,tagHomeID,charge
04-27-22,MO01,KOWKTAKPU,KO,0.9
11-13-22,KO11,NAOHAFEYUH,NO,1.4
05-30-22,MO08,OO7PZE9VI,GE,3.15
03-07-22,NAO02,NAOVZ41NAM,MO,1.25
03-04-22,EG26,NAOLY8OZCY,NAO,1.8
02-04-22,OO18,NO7PTX63C,KO,1.3
03-16-22,EG70,AMH9SDBDW,GE,1.8
03-22-22,KO20,EGUT0CVS4,AM,1.3
07-09-22,EG19,GEX7EEDTJ,KO,1.4
07-15-22,NAO41,EG7UR23GD,AM,2.5
03-12-22,EG33,NAOHL1N13J,GE,5.0
03-31-22,EG10,NAO5ZJA8DZ,EG,3.2
06-26-22,KO15,OOZSJ49IT,GE,2.25
06-21-22,EG05,NAONSM43D8,AM,4.3
09-27-22,NAO26,NOE1V2ISQ,NO,1.25
07-21-22,AM22,NAOURTP0LZ,AM,0.8
04-11-22,EG31,EG7UR23GD,KO,1.0
07-12-22,MO01,AMH9SDBDW,MO,4.8
04-28-22,EG60,AMHJ7XVG0,AM,1.3
10-08-22,EG04,KOWKTAKPU,OO,4.2
06-19-22,EG20,NAONSM43D8,EG,1.0
11-17-22,OO16,OO1B0Z3NX,KO,1.3
10-08-22,OO16,EGF1T2TAL,AM,1.3
02-27-22,EG01,GEX7EEDTJ,OO,7.5
03-25-22,OO28,NOXFGCAQV,AM,3.3
11-01-22,KO19,NAO09SKDGI,MO,1.3
07-14-22,OO08,AMV3A3ZMF,EG,1.3
10-19-22,OO09,EGVWPVS7H,KO,2.5
03-09-22,EG32,KONCXLL4Z,NAO,1.0
06-13-22,EG46,EGVWPVS7H,EG,0.3
11-04-22,AM26,NAOP0J43D5,NO,6.8
10-08-22,MO09,GEX7EEDTJ,MO,1.9
04-08-22,NO23,NAOHL1N13J,GE,1.5
09-11-22,MO15,AMXAJI0Y6,MO,0.5
10-26-22,EG54,NAO5ZJA8DZ,KO,1.5
07-05-22,NO32,MOJCKJLTE,MO,0.75
05-03-22,OO09,NAO5UQPGB7,OO,1.7
09-30-22,OO02,KOJDP0LVS,EG,8.1
07-21-22,NAO16,AMHJ7XVG0,AM,6.25
06-21-22,EG15,NAOP0J43D5,KO,4.2
03-28-22,OO23,MOV86WZS3,NO,1.4
09-18-22,OO26,NAONSM43D8,KO,0.5
03-24-22,EG51,GE5A0L725,MO,0.4
11-09-22,NAO25,NAOBMYOFQE,NAO,6.25
08-29-22,KO22,OOQ0OXFQ8,EG,0.65
12-25-22,EG28,AMXAJI0Y6,KO,1.4
11-26-22,NAO07,OO3KKV9RF,EG,10.0
04-18-22,EG23,EGIGQPKI7,EG,1.4
09-05-22,EG02,EGF1T2TAL,KO,7.5
05-30-22,OO20,OOZSJ49IT,KO,1.8
10-05-22,MO18,AMXAJI0Y6,GE,2.9
12-12-22,AM26,EGUT0CVS4,KO,1.1
04-02-22,EG41,NAOHL1N13J,OO,2.1
